Ticket,Summary,Type,Status,Priority,Reporter,Assignee,Classification,Source References,Explanation
PAYM-137,Community Portal approvers & Payroll system users,Task,Open,Medium,Karen Mangan,Julian McGrath,In Scope,RW 'Employee portal capabilities' (Standard); RW 'Roles and permissions' (Standard); DW 'SYSTEM USERS' sheet,Portal and permission roles are Standard in RW. DW has System Users sheet.
PAYM-145,Discuss change of State and LSL,Task,Open,Medium,Karen Mangan,Julian McGrath,In Scope,SOW 3.2 (Discovery); RW 'Dual leave loading' (Standard); DW 'LEAVE RULES' sheet,Discovery activity — understanding how state changes impact LSL accrual.
PAYM-151,[Action AC073] Friday Booking reconciliation report,Task,Open,Medium,Karen Mangan,Julian McGrath,Borderline,"RW 'Custom reports and dashboards' — self-service training, not 2c9 build","Could be handled as a training outcome (Hireup builds it themselves after PAYM-299 training). If asking 2c9 to build it, that's additional work."
PAYM-152,[Action AC076] Sleepover Timing — Hireup internal changes,Task,New,Low,Karen Mangan,Heidi Simoniuk,In Scope,SOW Section 4 Gap 2; SOW 3.1 (Project Management),Tracks dependencies and timing for sleepover build. Project management under SOW 3.1.
PAYM-159,Setup custom fields for Portable LSL Registration,Task,Open,Low,Heidi Simoniuk,Julian McGrath,Scope Creep,"Not in SOW, RW, or DW",Portable LSL not in any scope document. New compliance stream requiring custom SF fields.
PAYM-166,[Nice to have] Slack integration for Payroll alerts,Task,New,Medium,Heidi Simoniuk,Alex Luca,Scope Creep,"Not in SOW, RW, or DW",No scope document mentions Slack integration. Explicitly tagged 'Nice to have'.
PAYM-167,Hireup custom Payslip template,Task,In Review,High,Heidi Simoniuk,Julian McGrath,In Scope,SOW Section 4 Gap 7; SOW Deliverables (UI customisation); RW 'Consolidated pay advice' (Custom),SOW Gap 7 requires payslips to display all-inclusive rate. RW has Custom user story.
PAYM-172,Include late approvals in Pay Batch [Training],Task,Open,Medium,Heidi Simoniuk,Andrew Humann,In Scope,SOW 3.6; RW 'Off-cycle pays' (Standard); TL — PAYM-172 + PAYM-207 row,Training on late-approved bookings. RW includes off-cycle pays as Standard. Timeline references ticket.
PAYM-173,Complete Portable LSL Workbook,Task,Open,Medium,Heidi Simoniuk,Julian McGrath,Scope Creep,"Not in SOW, RW, or DW",Portable LSL not in any scope document. Entire workbook for new compliance stream.
PAYM-174,Sleepover Timing — FairWork award changes,Task,New,Low,Heidi Simoniuk,Heidi Simoniuk,In Scope,SOW 3.1 (Project Management); SOW 3.2 (SCHADS interpretation); RAID risks,Tracking/awareness item only — no build requested. Standard project governance under SOW 3.1.
PAYM-183,Broken shift & Sleepover bookings incorrect,Bug,In Progress,High,Heidi Simoniuk,Heidi Simoniuk,In Scope,SOW Section 4 Gap 2 + Gap 3; RW 'Broken shift logic' (Standard); RW 'Sleepovers' (Custom),Spans two SOW gap deliverables. System not recognising broken shifts or applying correct allowances.
PAYM-193,Comms to Business to approve retros/tidy data,Task,New,Medium,Karen Mangan,Paul Joseph,In Scope,SOW 3.7 (Go-Live Preparation); RW 'Payroll cutoff and approval workflow' (Standard),Go-live preparation. Auto-approving outstanding bookings to reduce cutover volumes.
PAYM-194,Pay batch creation / automation,Story,In Review,Medium,Heidi Simoniuk,Julian McGrath,In Scope,SOW Section 4 Flame Trees; SOW Section 5 Assumption 8; RW 'API-triggered pay batches' + 'Pay batch triggering' + 'Large pay batch processing' (all Custom),SOW explicitly lists as Flame Trees deliverable. Three separate RW user stories. Most documented in-scope item.
PAYM-207,Determine best way to enter On-call Allowances,Task,Open,Medium,Karen Mangan,Lennon McGrath,In Scope,SOW 3.3; DW 'ALLOWANCE PAY CODES' + 'ALLOWANCES' sheets; TL — PAYM-172 + PAYM-207 row,On-call allowances in DW. Configuration decision under SOW 3.3. Timeline references ticket.
PAYM-214,Test PPT Work schedules and minimum hours,Task,Blocked,Medium,Heidi Simoniuk,Sameer Gundu,In Scope,SOW 3.5; RW 'Payroll calendar and cut-off' (Standard); DW 'PAY SCHEDULES & CALENDARS' sheet,Functional testing activity within SOW 3.5. DW captures pay schedule configuration.
PAYM-217,Review licences and allocations for Hireup resources,Task,New,Medium,Karen Mangan,Paul Joseph,In Scope,SOW 3.1 (resource planning); SOW 3.7 (Go-Live Preparation); DW 'SYSTEM USERS' sheet,Standard project governance and go-live readiness. DW captures system user requirements.
PAYM-219,Finalise Public holiday calendars and maintenance,Task,In Review,Medium,Heidi Simoniuk,Heidi Simoniuk,In Scope,SOW Section 4 Flame Trees (PH Trigger); RW 'Public holiday by shift location' (Custom); DW 'HU PUBLIC HOLIDAY CAL' + 'PUBLIC HOLIDAYS' sheets,PH Trigger is Flame Trees deliverable. RW requires location-based PH logic. DW has two PH sheets.
PAYM-220,Confirmation of retro approach — paper to ELT,Task,Open,Medium,Karen Mangan,Paul Joseph,In Scope,SOW 3.7 (Go-Live Preparation); SOW 3.1 (Proactive project management),Go-live preparation governance. Cutover plan must define retro handling across old/new systems.
PAYM-221,Audit log requirements,Task,In Review,Medium,Heidi Simoniuk,Heidi Simoniuk,In Scope,RW 'Audit history tracking' (Standard); SOW Appendix A — Security; TL — PAYM-221 row,RW classifies as Standard. SOW Appendix A commits to security logging. Timeline references ticket.
PAYM-229,Sync Data from 2c9 to Platform,Epic,New,Medium,Heidi Simoniuk,Anita Maehrle,In Scope,RW 'Outbound pay results' (Standard); RW 'Return of pay results' (Custom); TL — Build 10 row; SOW 3.8,RW has Standard and Custom user stories. Timeline lists as build item 10.
PAYM-232,Auto-approve workflow for open timesheets,Story,New,Medium,Alex Luca,Swaroop Sridhara,Borderline,RW 'Payroll cutoff and approval workflow' (Standard); RW 'Pay batch triggering' (Custom),RW says 'define and enforce cutoff process'. Auto-approval is custom scheduled automation beyond standard cutoff configuration. The need arises from in-scope cutoff workflow but the implementation is custom.
PAYM-233,Configure PROD Instance,Epic,In Review,Medium,Heidi Simoniuk,Julian McGrath,In Scope,SOW 3.3; TL 'Revised PPT' — production uplift rows,SOW 3.3 covers installation and configuration. Timeline schedules production uplift.
PAYM-234,SCHADS Award rules build,Epic,Open,High,Heidi Simoniuk,Lennon McGrath,In Scope,SOW 3.2 (SCHADS MA000100); SOW 3.3; RW 10+ interpretation user stories; DW 'MA000100 SCHADS' sheet,SOW 3.2 specifically names SCHADS. SOW 3.3 says 'Award Interpretation as per Discovery Workbook'.
PAYM-235,Configure Payroll engine,Epic,In Review,High,Heidi Simoniuk,Julian McGrath,In Scope,"SOW 3.3; RW multiple payroll user stories; DW 'PAYMENT ENTITY', 'PAY SCHEDULES', 'EARNER TYPE', 'LEAVE RULES', 'CALCULATION OF RATES' sheets",SOW 3.3 covers payroll installation and configuration. Parent epic for all payroll engine config.
PAYM-241,Build Portable LSL Reports (5 states),Task,Open,Medium,Heidi Simoniuk,Julian McGrath,Scope Creep,"Not in SOW, RW, or DW",Portable LSL not in any scope document. 5 state-specific compliance reports — significant build effort.
PAYM-242,"Configure protected earnings (child support, garnishee)",Task,In Review,Medium,Heidi Simoniuk,Julian McGrath,In Scope,SOW 3.3; DW 'DEDUCTION PAY CODES' sheet; RW 'Master payroll data setup' (Standard),Standard payroll deduction configuration. DW includes Deduction Pay Codes sheet.
PAYM-243,[UAT] Test Project Evolution CR Changes,Task,New,Medium,Heidi Simoniuk,Sameer Gundu,In Scope,SOW 3.5; RW-PE 'Project Evolution' sheet; TL — Build 11 ('CR1 SO'); RAID R01,Testing of formally approved CR1. RAID states 'testing will confirm if Risk is abated'.
PAYM-255,Post Go Live items,Epic,New,Medium,Heidi Simoniuk,Heidi Simoniuk,In Scope,SOW 3.7; TL 'Revised PPT' — Post Go-Live Activities section,SOW 3.7 includes hypercare and post go-live support. Parent epic.
PAYM-261,End User Training,Epic,New,Medium,Heidi Simoniuk,Andrew Humann,In Scope,SOW 3.6; TL 'Revised PPT' — Training section,SOW 3.6 commits to end-user and administrator training. Parent epic.
PAYM-262,Quarterly Release — Hibiscus,Story,New,Medium,Heidi Simoniuk,Guy Baxter,Scope Creep,SOW Section 5 Assumption 8 explicitly excludes future product releases,SOW Section 5: 'future product releases are not included'. Hibiscus is a future release. Ticket itself says 'not a must have'. Any work should be a Change Request.
PAYM-271,Solution for PPT Min Contracted Hours,Task,Open,Medium,Heidi Simoniuk,Julian McGrath,Scope Creep,"Not in SOW, RW, or DW",Custom solution for work schedules and automatic minimum hours top-up. JIRA comments acknowledge 'most likely will be a change request'.
PAYM-272,Solution for Sleepover bookings that cross midday,Task,New,Medium,Heidi Simoniuk,Lennon McGrath,Borderline,SOW Section 4 Gap 2; RW 'Sleepovers' (Custom),Sleepovers in scope but ticket calls for 'longer term' architectural solution beyond interim workaround. Interim workaround closer to in-scope; permanent product change is scope creep.
PAYM-273,Sleepover — incorrect payment first & active hours,Bug,Open,High,Alex Luca,Sameer Gundu,Borderline,SOW Section 4 Gap 2; RW 'Sleepovers and disturbances' (Custom),"Base negative-hours bug is arguably a config defect (in scope), but ticket expanded to midnight-crossing active hour calculations beyond basic configuration."
PAYM-278,"Payee Exit, GL, STP [Training]",Task,Open,Medium,Andrew Humann,Heidi Simoniuk,In Scope,SOW 3.6; TL 'Revised PPT' — PAYM-278 row,"2-hour training on payee terminations, GL, STP, super. Timeline references ticket by number."
PAYM-279,Process for FDVL & Pay advices,Task,Open,Medium,Heidi Simoniuk,Julian McGrath,Scope Creep,"Not in SOW, RW, or DW",FDVL not in any scope document. Pay advice suppression per legislation is a specific compliance requirement not identified in discovery.
PAYM-280,Process to create new pay codes & ensure rates generated,Task,New,Medium,Heidi Simoniuk,Lennon McGrath,Scope Creep,"Not in SOW, RW, or DW",Operational documentation and Apex job tooling for ongoing BAU activities post-implementation. Beyond SOW handover scope.
PAYM-281,Define template for data load of leave balances,Task,In Review,Medium,Heidi Simoniuk,Heidi Simoniuk,In Scope,SOW 3.4 ('Templates provided by 2cloudnine'); DW 'LEAVE RULES' sheet,SOW 3.4 explicitly offers templates as a migration method. Direct deliverable.
PAYM-293,Pay trans import defaulting to $34.59,Bug,In Progress,High,Sameer Gundu,Heidi Simoniuk,Borderline,SOW 3.3; TL — Build 8 row (Transaction Import Files),"Import bug (defaulting to wrong rate) is in scope as a config defect in Build 8. But ticket conflates this with CAG/PPL rate requirements (PAYM-311, itself out of scope)."
PAYM-294,Public holidays incorrectly tagged (UX Issue),Bug,In Progress,Low,Heidi Simoniuk,Guy Baxter,In Scope,SOW Section 4 Flame Trees (PH Trigger); RW 'Public holiday by shift location' (Custom); DW 'HU PUBLIC HOLIDAY CAL' sheet,PH calendar defect. PH Trigger is Flame Trees deliverable. RW and DW document PH requirements.
PAYM-296,SACS Short shifts calcs incorrect,Bug,In Progress,High,Heidi Simoniuk,Jacqui Fenton,In Scope,SOW Section 4 Gap 6; RW 'Short shift detection and uplift' + 'Short shift uplift' (both Custom),SOW Gap 6 lists short shifts. SACS short shifts not paying 2hr × base rate is a failure in the gap deliverable.
PAYM-299,"Reports and Dashboard, Portal [Training]",Task,Open,Medium,Andrew Humann,Heidi Simoniuk,In Scope,SOW 3.6; RW 'Standard payroll reports' + 'Custom reports and dashboards'; RW 'Employee portal capabilities' (Standard),"Training on reports, dashboards, portal. RW calls for 'training for key Hireup users on report and dashboard creation'."
PAYM-301,Investigate Error Log for Bulk Approval,Task,New,Medium,Alex Luca,Alex Luca,In Scope,SOW 3.5 (testing assistance); SOW 3.8 (ad hoc support),Error during bulk approval needing investigation. Standard defect triage during testing.
PAYM-310,Public holiday part day — Afternoon shift not recognised,Task,Open,Medium,Heidi Simoniuk,Heidi Simoniuk,In Scope,SOW Section 4 Flame Trees (PH Trigger); RW 'Public holiday by shift location' (Custom); DW 'HU PUBLIC HOLIDAY CAL' sheet,Part-day PH not recognised for afternoon shifts. PH Trigger is Flame Trees deliverable.
PAYM-311,Default pay rates for CAG & PPL,Task,In Review,High,Heidi Simoniuk,Heidi Simoniuk,Borderline,Partially — SOW 3.3 covers pay code config; DW does not list CAG/PPL explicitly,Mirrors PAYM-293 pattern (import defaulting incorrectly). Config is standard but CAG/PPL pay categories were not in Discovery Workbook.
PAYM-312,Sleepovers > 18 hours in duration incorrect,Bug,In Progress,High,Heidi Simoniuk,Lennon McGrath,Scope Creep,SOW Gap 2 wording does not cover this,18+ hour sleepovers spanning multiple calendar days with daily OT resets and cascading penalty rates is complex engine work — not 'configuring compliance hours at the lower rate'.
PAYM-313,Sleepovers > 18 hours & back to back Sleepovers,Bug,In Progress,High,Heidi Simoniuk,Lennon McGrath,Scope Creep,SOW Gap 2 wording does not cover this,Back-to-back sleepovers across three calendar days with consecutive OT resets. Even further beyond Gap 2 than PAYM-312.
PAYM-314,Daily OT Calc incorrect,Bug,Open,High,Heidi Simoniuk,Lennon McGrath,In Scope,SOW Section 4 Gap 1 ('bookings crossing midnight … wrongly interpreted'); RW 'Overnight shift logic' (Custom),"Overnight shift (11pm-7am) exactly matches SOW Gap 1 scenario — starts weekday, crosses midnight, ends after 6am."
PAYM-318,Short Shift Saturday & PH payment incorrect — Inflated,Bug,Open,High,Heidi Simoniuk,Lennon McGrath,In Scope,SOW Section 4 Gap 6; RW 'Short shift detection and uplift' (Custom),Defect in short shift logic. SOW Gap 6 commits to short shifts. System over-calculating violates RW 'pay the higher of' rule.
PAYM-319,Minimum Sleepover Rates incorrect,Bug,Open,High,Heidi Simoniuk,Lennon McGrath,Scope Creep,SOW Gap 2 wording does not cover this,"'Minimum sleepover top-up' with day-type-specific rates (PH $87.03, weekday Night $44.64) is a concept not in SOW or RW."
PAYM-324,Daily OT not triggered with Day booking + Sleepover,Bug,In Progress,High,Heidi Simoniuk,Heidi Simoniuk,Scope Creep,SOW Gap 2 wording does not cover this,"Fundamentally an OT aggregation issue, not sleepover configuration. The sleepover is incidental — the bug is that daily OT doesn't aggregate across booking types."
PAYM-325,Sleepover crossing midday paying incorrect shift penalty,Bug,Open,Medium,Heidi Simoniuk,Jacqui Fenton,Scope Creep,SOW Gap 2 wording does not cover this,"Penalty rate classification at midday boundaries is a system constraint workaround, not sleepover compliance-hour configuration."
PAYM-326,Create new pay code — Min Sleepover Mon-Fri,Task,In Review,High,Heidi Simoniuk,Heidi Simoniuk,Scope Creep,SOW Gap 2 wording does not cover this,New pay code for minimum sleepover top-up mechanism (itself not in SOW). Day-type variant splitting is net new configuration.
PAYM-327,[Simplification 1] Consolidate Pay Code Structure,Task,In Review,High,Andrew Humann,Lennon McGrath,Borderline,Partially — RW 'Short shift and penalty pay codes' says 'rationalise names'; SOW 3.3,Systemic architecture rework exceeds the RW 'rationalise pay code names' user story. Changing the reporting model is not initial configuration — it is re-architecture.
PAYM-328,[Simplification 2] Decouple Sleepover & Remote Work from Broken Shift,Task,In Review,Medium,Andrew Humann,Heidi Simoniuk,Borderline,"Partially — SOW Section 4 Gaps 2, 3; RW 'Broken shift logic' + 'Sleepovers'","Rework of a design that proved unworkable. Hireup requested coupling, 2c9 built it, now being unwound. SOW commits to one build cycle, not iterative redesigns."
PAYM-329,[Simplification 3] Standardise Discretionary Allowance,Task,In Review,Medium,Andrew Humann,Heidi Simoniuk,Borderline,Partially — SOW Section 4 Gap 7,"Second iteration of SOW Gap 7 deliverable. First implementation introduced 'non-standard logic prone to errors' — this is a redesign, not a refinement."
PAYM-330,[Simplification 4] Review and Standardise Broken/Split Shift Logic,Task,In Review,Medium,Andrew Humann,Heidi Simoniuk,Borderline,"Partially — SOW Section 4 Gaps 3, 4, 6; RW broken shift + short shift stories",Rework of Gaps 3/4/6 due to design complexity. Original build created 'custom logic and configuration complexity' that now needs simplifying.
PAYM-333,Review Apex code / Changes to flows impacts,Task,New,Medium,Heidi Simoniuk,Lennon McGrath,Scope Creep,"Not in SOW, RW, or DW","Code audit with maintenance impact assessment. SOW covers training/handover, not auditing codebase."
PAYM-334,Create UI Widget for adhoc timesheet entries,Task,New,Medium,Heidi Simoniuk,Sameer Gundu,Scope Creep,"Not in SOW, RW, or DW",Custom Salesforce LWC development — not 'configuration'. Integration assumes timesheets from Hireup Platform. NOTE: widget already built per JIRA comments — flag for commercial reconciliation.
PAYM-335,Investigate adjustments for Payee leave events,Task,In Review,Medium,Heidi Simoniuk,Julian McGrath,Borderline,Partially — RW 'Dual leave loading' (Standard) says 'pay the higher of the two',System defaulting to 17.5% instead of higher weekend rate may be a config defect in dual leave loading (RW says 'pay the higher'). Override request is a workaround for the underlying issue.
PAYM-336,Picklist of Allowance pay codes,Task,In Review,Medium,Heidi Simoniuk,Lennon McGrath,In Scope,SOW 3.3; SOW Deliverables (UI customisation); DW 'ALLOWANCE PAY CODES' sheet,Standard Salesforce picklist configuration. DW documents which allowance codes to include.
PAYM-337,Hireup custom Payslip Email body,Task,Open,High,Heidi Simoniuk,Julian McGrath,Borderline,Partially — SOW Section 4 Gap 7 covers payslip content; SOW Deliverables (UI/terminology),"Email body is the delivery wrapper for the in-scope custom payslip (PAYM-167). Straightforward text config, but legal disclaimers and branding push it beyond simple configuration."
PAYM-340,End of year processing [Support/Training],Task,New,Medium,Andrew Humann,Andrew Humann,In Scope,SOW 3.6; SOW 3.7 (post go-live support),EOFY processing training is standard payroll. Aligns with SOW 3.6 training and 3.7 support transition.
PAYM-341,Production User Review,Task,In Review,Medium,Guy Baxter,Paul Joseph,In Scope,"SOW 3.7; SOW Appendix A — Security (least privilege, access reviews); DW 'SYSTEM USERS' sheet",Go-live readiness (SOW 3.7) and security obligation (Appendix A). DW documents user list.
PAYM-342,Align on Reversed Transactions display on Pay Advice,Task,In Review,Medium,Alex Luca,Julian McGrath,Borderline,Partially — SOW Section 4 Gap 5 (consolidated payslips); RW 'Consolidated pay advice' (Custom),"Gap 5 commits to consolidation, not redesigning reversal display. Display alignment is new UX requirement; rates/PAYG issues within the ticket are genuine defects."
PAYM-344,Public holiday under paid of SW L1,Bug,New,High,Sameer Gundu,Jacqui Fenton,In Scope,SOW Section 4 Flame Trees (PH Trigger); SOW 3.3,PH underpayment is a rate calculation defect. PH Trigger is Flame Trees deliverable. Correct PH rates are fundamental to SCHADS.
PAYM-345,Update missing BSBs in Prod,Bug,Open,Medium,Heidi Simoniuk,Julian McGrath,In Scope,SOW 3.3; RW 'Master payroll data setup' (Standard),BSB data integrity essential for Bank ABA payments. RW calls for validating master data prior to go-live.
PAYM-347,Update MV Allowance to $1.04 per KM,Task,In Review,High,Heidi Simoniuk,Sameer Gundu,Borderline,SOW 3.3; DW 'ALLOWANCE PAY CODES' + 'ALLOWANCES' sheets,"Discretionary business rate change (Hireup chose to increase by 5c), not a defect or regulatory requirement. Trivial effort but sets a precedent for mid-project changes."
PAYM-351,Submitting Leave fails — EmailException error,Task,Open,Medium,Alex Luca,Alex Luca,In Scope,RW 'Employee portal capabilities' (Standard); SOW 3.3,Portal is Standard in RW. Leave submission failing due to trigger exception is a product defect.
PAYM-354,Production Org API Limits,Task,Open,Medium,Guy Baxter,Alex Luca,Scope Creep,"Not in SOW, RW, or DW",Ongoing operational monitoring of production API consumption. Not a configuration or build task.
PAYM-356,New Training pay code does not have associated pay rate,Bug,New,Medium,Heidi Simoniuk,Lennon McGrath,In Scope,SOW 3.3; RW 'Short shift and penalty pay codes' (Custom),Pay code producing $0 payments due to missing rate is a configuration defect.
PAYM-357,Review and check GL Account codes,Task,New,Medium,Heidi Simoniuk,Julian McGrath,In Scope,SOW 3.3 ('GL and cost code set up … export files to Netsuite'),SOW 3.3 explicitly includes GL setup. Validating GL mappings is standard QA before go-live.
PAYM-358,Separate pay code for Training (GL 50710 / 50720),Task,New,High,Sameer Gundu,Jacqui Fenton,Borderline,Partially — RW 'Remote work and training' (Custom) requires 'dedicated codes'; GL mapping is the extension,RW requires 'dedicated codes from the core system' for training. Pay code creation is covered; specific GL account mapping (50710/50720) is the borderline extension.
